Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,2
design__inferred_latch__count,0
design__instance__count,618
design__instance__area,121986
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0015405163867399096
power__switching__total,0.00008194707334041595
power__leakage__total,5.18163467688737E-8
power__total,0.0016225152648985386
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-2.0388273868491193
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.10014166168639108
timing__hold__ws__corner:nom_tt_025C_1v80,0.3413140977566944
timing__setup__ws__corner:nom_tt_025C_1v80,12.03989830800896
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.502727
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,24.167494
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-2.1071442964677476
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.10014166168639108
timing__hold__ws__corner:nom_ss_100C_1v60,0.2437374815411539
timing__setup__ws__corner:nom_ss_100C_1v60,12.479601705258204
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,23.374807
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-2.0017508217593507
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.10014210577561349
timing__hold__ws__corner:nom_ff_n40C_1v95,0.17856783224174352
timing__setup__ws__corner:nom_ff_n40C_1v95,11.820276647601546
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.286917
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,24.433578
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-1.9998221422664249
clock__skew__worst_setup,0.10006794287547105
timing__hold__ws,0.17856783224174352
timing__setup__ws,11.813032664205599
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.284423
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,23.365524
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 380.0 435.0
design__core__bbox,5.06 5.44 374.9 429.76
flow__warnings__count,1
flow__errors__count,0
design__io,108
design__die__area,165300
design__core__area,156931
design__instance__count__stdcell,617
design__instance__area__stdcell,3175.55
design__instance__count__macros,1
design__instance__area__macros,118810
design__instance__utilization,0.777325
design__instance__utilization__stdcell,0.0833037
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,28685.7
design__violations,0
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,4
antenna__violating__pins,4
route__antenna_violation__count,4
route__net,345
route__net__special,2
route__drc_errors__iter:1,108
route__wirelength__iter:1,30453
route__drc_errors__iter:2,5
route__wirelength__iter:2,30373
route__drc_errors__iter:3,3
route__wirelength__iter:3,30408
route__drc_errors__iter:4,0
route__wirelength__iter:4,30410
route__drc_errors,0
route__wirelength,30410
route__vias,1295
route__vias__singlecut,1295
route__vias__multicut,0
design__disconnected_pin__count,23
design__critical_disconnected_pin__count,0
route__wirelength__max,446.92
timing__unannotated_net__count__corner:nom_tt_025C_1v80,33
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,33
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,33
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-2.03632494408084
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.10006838696469346
timing__hold__ws__corner:min_tt_025C_1v80,0.34092996057930997
timing__setup__ws__corner:min_tt_025C_1v80,12.030581316122804
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.499134
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,24.171640
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,33
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,0
