Metric,Value
design__instance__count,138489
design__instance__area,3.74024E+6
design__instance_unmapped__count,0
synthesis__check_error__count,99
design__max_slew_violation__count__corner:nom_tt_025C_1v80,8387
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1575
design__max_cap_violation__count__corner:nom_tt_025C_1v80,35
power__internal__total,0.00039720366476103663
power__switching__total,0.0005076333764009178
power__leakage__total,6.831447194599605E-7
power__total,0.0009055201662704349
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-3.098848820815439
clock__skew__worst_setup__corner:nom_tt_025C_1v80,1.1899597199973044
timing__hold__ws__corner:nom_tt_025C_1v80,1.3868453444850057
timing__setup__ws__corner:nom_tt_025C_1v80,34.33082892917099
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,1.642048
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,34.330830
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,10134
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1575
design__max_cap_violation__count__corner:nom_ss_100C_1v60,162
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-4.02476818820146
clock__skew__worst_setup__corner:nom_ss_100C_1v60,1.9359430162473372
timing__hold__ws__corner:nom_ss_100C_1v60,2.4977256525585814
timing__setup__ws__corner:nom_ss_100C_1v60,30.155043759996865
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,2.497726
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,30.155045
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,7792
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1575
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,15
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-2.933762649187611
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,1.011856849171424
timing__hold__ws__corner:nom_ff_n40C_1v95,0.7749205940714755
timing__setup__ws__corner:nom_ff_n40C_1v95,35.95350252614603
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,1.039449
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,35.953503
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,6686
design__max_fanout_violation__count__corner:min_tt_025C_1v80,1575
design__max_cap_violation__count__corner:min_tt_025C_1v80,28
clock__skew__worst_hold__corner:min_tt_025C_1v80,-2.9748448990635157
clock__skew__worst_setup__corner:min_tt_025C_1v80,1.089933951720174
timing__hold__ws__corner:min_tt_025C_1v80,1.4922357105688462
timing__setup__ws__corner:min_tt_025C_1v80,34.412146994864884
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,1.675264
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,34.412148
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,8247
design__max_fanout_violation__count__corner:min_ss_100C_1v60,1575
design__max_cap_violation__count__corner:min_ss_100C_1v60,114
clock__skew__worst_hold__corner:min_ss_100C_1v60,-3.8279078767994354
clock__skew__worst_setup__corner:min_ss_100C_1v60,1.765358575956854
timing__hold__ws__corner:min_ss_100C_1v60,2.4470941521331993
timing__setup__ws__corner:min_ss_100C_1v60,30.35074144581462
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,0.0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0.0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,2.447094
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,30.350742
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,6192
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,1575
design__max_cap_violation__count__corner:min_ff_n40C_1v95,7
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-2.8196086263887365
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.90151400007927
timing__hold__ws__corner:min_ff_n40C_1v95,0.8552438999071742
timing__setup__ws__corner:min_ff_n40C_1v95,35.94971178054354
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,1.058036
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,35.949711
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,10695
design__max_fanout_violation__count__corner:max_tt_025C_1v80,1575
design__max_cap_violation__count__corner:max_tt_025C_1v80,45
clock__skew__worst_hold__corner:max_tt_025C_1v80,-3.217924684466281
clock__skew__worst_setup__corner:max_tt_025C_1v80,1.2685981513231805
timing__hold__ws__corner:max_tt_025C_1v80,1.2590568943797067
timing__setup__ws__corner:max_tt_025C_1v80,34.28971692531718
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,1.650244
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,34.289719
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,12326
design__max_fanout_violation__count__corner:max_ss_100C_1v60,1575
design__max_cap_violation__count__corner:max_ss_100C_1v60,200
clock__skew__worst_hold__corner:max_ss_100C_1v60,-4.214782420150815
clock__skew__worst_setup__corner:max_ss_100C_1v60,2.0583624276537025
timing__hold__ws__corner:max_ss_100C_1v60,2.5123850377903274
timing__setup__ws__corner:max_ss_100C_1v60,29.922397850874617
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
